id,group,sample,group_original,sample_original,directory,lane,fastq_1,fastq_2,read_num_1,read_num_2
UMI8b.IL.DFSS3_UMI8b.1.IL.DFSS3,UMI8b.IL.DFSS3,UMI8b.1.IL.DFSS3,UMI8b_IL_DFSS3,UMI8b_1_IL_DFSS3,20230804,1,20230804/K562_DFSS3_1ul_1_S6_R1_001.fastq.gz,20230804/K562_DFSS3_1ul_1_S6_R3_001.fastq.gz,5001417,5001417
UMI8b.IL.DFSS3_UMI8b.1.IL.DFSS3,UMI8b.IL.DFSS3,UMI8b.1.IL.DFSS3,UMI8b_IL_DFSS3,UMI8b_1_IL_DFSS3,20230818,2,20230818/K562_DFSS3_1ul_1_S1_R1_001.fastq.gz,20230818/K562_DFSS3_1ul_1_S1_R3_001.fastq.gz,15293107,15293107
UMI8b.IL.DFSS3_UMI8b.2.IL.DFSS3,UMI8b.IL.DFSS3,UMI8b.2.IL.DFSS3,UMI8b_IL_DFSS3,UMI8b_2_IL_DFSS3,20230804,1,20230804/K562_DFSS3_1ul_2_S7_R1_001.fastq.gz,20230804/K562_DFSS3_1ul_2_S7_R3_001.fastq.gz,6138295,6138295
UMI8b.IL.DFSS3_UMI8b.2.IL.DFSS3,UMI8b.IL.DFSS3,UMI8b.2.IL.DFSS3,UMI8b_IL_DFSS3,UMI8b_2_IL_DFSS3,20230818,2,20230818/K562_DFSS3_1ul_2_S2_R1_001.fastq.gz,20230818/K562_DFSS3_1ul_2_S2_R3_001.fastq.gz,14385932,14385932
UMI8b.IL.DFSS3_UMI8b.3.IL.DFSS3,UMI8b.IL.DFSS3,UMI8b.3.IL.DFSS3,UMI8b_IL_DFSS3,UMI8b_3_IL_DFSS3,20230804,1,20230804/K562_DFSS3_1ul_3_S8_R1_001.fastq.gz,20230804/K562_DFSS3_1ul_3_S8_R3_001.fastq.gz,5447255,5447255
UMI8b.IL.DFSS3_UMI8b.3.IL.DFSS3,UMI8b.IL.DFSS3,UMI8b.3.IL.DFSS3,UMI8b_IL_DFSS3,UMI8b_3_IL_DFSS3,20230818,2,20230818/K562_DFSS3_1ul_3_S3_R1_001.fastq.gz,20230818/K562_DFSS3_1ul_3_S3_R3_001.fastq.gz,16224127,16224127
UMI8b.IL.DFSS3_UMI8b.4.IL.DFSS3,UMI8b.IL.DFSS3,UMI8b.4.IL.DFSS3,UMI8b_IL_DFSS3,UMI8b_4_IL_DFSS3,20230804,1,20230804/K562_DFSS3_1ul_4_S9_R1_001.fastq.gz,20230804/K562_DFSS3_1ul_4_S9_R3_001.fastq.gz,5756359,5756359
UMI8b.IL.DFSS3_UMI8b.4.IL.DFSS3,UMI8b.IL.DFSS3,UMI8b.4.IL.DFSS3,UMI8b_IL_DFSS3,UMI8b_4_IL_DFSS3,20230818,2,20230818/K562_DFSS3_1ul_4_S4_R1_001.fastq.gz,20230818/K562_DFSS3_1ul_4_S4_R3_001.fastq.gz,13324453,13324453
UMI8b.IL.THSS3_UMI8b.1.IL.THSS3,UMI8b.IL.THSS3,UMI8b.1.IL.THSS3,UMI8b_IL_THSS3,UMI8b_1_IL_THSS3,20230804,1,20230804/K562_THSS3_1ul_1_S10_R1_001.fastq.gz,20230804/K562_THSS3_1ul_1_S10_R3_001.fastq.gz,1290296,1290296
UMI8b.IL.THSS3_UMI8b.1.IL.THSS3,UMI8b.IL.THSS3,UMI8b.1.IL.THSS3,UMI8b_IL_THSS3,UMI8b_1_IL_THSS3,20230818,2,20230818/K562_THSS3_1ul_1_S5_R1_001.fastq.gz,20230818/K562_THSS3_1ul_1_S5_R3_001.fastq.gz,40623689,40623689
UMI8b.IL.THSS3_UMI8b.2.IL.THSS3,UMI8b.IL.THSS3,UMI8b.2.IL.THSS3,UMI8b_IL_THSS3,UMI8b_2_IL_THSS3,20230804,1,20230804/K562_THSS3_1ul_2_S11_R1_001.fastq.gz,20230804/K562_THSS3_1ul_2_S11_R3_001.fastq.gz,1385073,1385073
UMI8b.IL.THSS3_UMI8b.2.IL.THSS3,UMI8b.IL.THSS3,UMI8b.2.IL.THSS3,UMI8b_IL_THSS3,UMI8b_2_IL_THSS3,20230818,2,20230818/K562_THSS3_1ul_2_S6_R1_001.fastq.gz,20230818/K562_THSS3_1ul_2_S6_R3_001.fastq.gz,35112050,35112050
UMI8b.IL.THSS3_UMI8b.3.IL.THSS3,UMI8b.IL.THSS3,UMI8b.3.IL.THSS3,UMI8b_IL_THSS3,UMI8b_3_IL_THSS3,20230804,1,20230804/K562_THSS3_1ul_3_S12_R1_001.fastq.gz,20230804/K562_THSS3_1ul_3_S12_R3_001.fastq.gz,3101426,3101426
UMI8b.IL.THSS3_UMI8b.3.IL.THSS3,UMI8b.IL.THSS3,UMI8b.3.IL.THSS3,UMI8b_IL_THSS3,UMI8b_3_IL_THSS3,20230818,2,20230818/K562_THSS3_1ul_3_S7_R1_001.fastq.gz,20230818/K562_THSS3_1ul_3_S7_R3_001.fastq.gz,31555440,31555440
UMI8b.IL.THSS3_UMI8b.4.IL.THSS3,UMI8b.IL.THSS3,UMI8b.4.IL.THSS3,UMI8b_IL_THSS3,UMI8b_4_IL_THSS3,20230804,1,20230804/K562_THSS3_1ul_4_S13_R1_001.fastq.gz,20230804/K562_THSS3_1ul_4_S13_R3_001.fastq.gz,2337199,2337199
UMI8b.IL.THSS3_UMI8b.4.IL.THSS3,UMI8b.IL.THSS3,UMI8b.4.IL.THSS3,UMI8b_IL_THSS3,UMI8b_4_IL_THSS3,20230818,2,20230818/K562_THSS3_1ul_4_S8_R1_001.fastq.gz,20230818/K562_THSS3_1ul_4_S8_R3_001.fastq.gz,36875603,36875603
UMI8b.IL.DFSS3.12C_UMI8b.1.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.1.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_1_IL_DFSS3_12C,20230804,1,20230804/K562_DFSS3_1_Illumina_12c_S14_R1_001.fastq.gz,20230804/K562_DFSS3_1_Illumina_12c_S14_R3_001.fastq.gz,4510831,4510831
UMI8b.IL.DFSS3.12C_UMI8b.1.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.1.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_1_IL_DFSS3_12C,20230818,2,20230818/K562_DFSS3_1_Illumina_12c_S9_R1_001.fastq.gz,20230818/K562_DFSS3_1_Illumina_12c_S9_R3_001.fastq.gz,24014861,24014861
UMI8b.IL.DFSS3.12C_UMI8b.2.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.2.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_2_IL_DFSS3_12C,20230804,1,20230804/K562_DFSS3_2_Illumina_12c_S15_R1_001.fastq.gz,20230804/K562_DFSS3_2_Illumina_12c_S15_R3_001.fastq.gz,4371896,4371896
UMI8b.IL.DFSS3.12C_UMI8b.2.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.2.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_2_IL_DFSS3_12C,20230818,2,20230818/K562_DFSS3_2_Illumina_12c_S10_R1_001.fastq.gz,20230818/K562_DFSS3_2_Illumina_12c_S10_R3_001.fastq.gz,27429274,27429274
UMI8b.IL.DFSS3.12C_UMI8b.3.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.3.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_3_IL_DFSS3_12C,20230804,1,20230804/K562_DFSS3_3_Illumina_12c_S16_R1_001.fastq.gz,20230804/K562_DFSS3_3_Illumina_12c_S16_R3_001.fastq.gz,4045031,4045031
UMI8b.IL.DFSS3.12C_UMI8b.3.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.3.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_3_IL_DFSS3_12C,20230818,2,20230818/K562_DFSS3_3_Illumina_12c_S11_R1_001.fastq.gz,20230818/K562_DFSS3_3_Illumina_12c_S11_R3_001.fastq.gz,25836057,25836057
UMI8b.IL.DFSS3.12C_UMI8b.4.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.4.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_4_IL_DFSS3_12C,20230804,1,20230804/K562_DFSS3_4_Illumina_12c_S17_R1_001.fastq.gz,20230804/K562_DFSS3_4_Illumina_12c_S17_R3_001.fastq.gz,3263830,3263830
UMI8b.IL.DFSS3.12C_UMI8b.4.IL.DFSS3.12C,UMI8b.IL.DFSS3.12C,UMI8b.4.IL.DFSS3.12C,UMI8b_IL_DFSS3_12C,UMI8b_4_IL_DFSS3_12C,20230818,2,20230818/K562_DFSS3_4_Illumina_12c_S12_R1_001.fastq.gz,20230818/K562_DFSS3_4_Illumina_12c_S12_R3_001.fastq.gz,31814234,31814234
UMI8b.IL.THSS3.12C_UMI8b.1.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.1.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_1_IL_THSS3_12C,20230804,1,20230804/K562_THSS3_1_Illumina_12c_S18_R1_001.fastq.gz,20230804/K562_THSS3_1_Illumina_12c_S18_R3_001.fastq.gz,2725318,2725318
UMI8b.IL.THSS3.12C_UMI8b.1.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.1.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_1_IL_THSS3_12C,20230818,2,20230818/K562_THSS3_1_Illumina_12c_S13_R1_001.fastq.gz,20230818/K562_THSS3_1_Illumina_12c_S13_R3_001.fastq.gz,28581285,28581285
UMI8b.IL.THSS3.12C_UMI8b.2.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.2.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_2_IL_THSS3_12C,20230804,1,20230804/K562_THSS3_2_Illumina_12c_S19_R1_001.fastq.gz,20230804/K562_THSS3_2_Illumina_12c_S19_R3_001.fastq.gz,2380586,2380586
UMI8b.IL.THSS3.12C_UMI8b.2.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.2.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_2_IL_THSS3_12C,20230818,2,20230818/K562_THSS3_2_Illumina_12c_S14_R1_001.fastq.gz,20230818/K562_THSS3_2_Illumina_12c_S14_R3_001.fastq.gz,33562062,33562062
UMI8b.IL.THSS3.12C_UMI8b.3.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.3.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_3_IL_THSS3_12C,20230804,1,20230804/K562_THSS3_3_Illumina_12c_S20_R1_001.fastq.gz,20230804/K562_THSS3_3_Illumina_12c_S20_R3_001.fastq.gz,3585535,3585535
UMI8b.IL.THSS3.12C_UMI8b.3.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.3.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_3_IL_THSS3_12C,20230818,2,20230818/K562_THSS3_3_Illumina_12c_S15_R1_001.fastq.gz,20230818/K562_THSS3_3_Illumina_12c_S15_R3_001.fastq.gz,25984988,25984988
UMI8b.IL.THSS3.12C_UMI8b.4.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.4.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_4_IL_THSS3_12C,20230804,1,20230804/K562_THSS3_4_Illumina_12c_S21_R1_001.fastq.gz,20230804/K562_THSS3_4_Illumina_12c_S21_R3_001.fastq.gz,2871898,2871898
UMI8b.IL.THSS3.12C_UMI8b.4.IL.THSS3.12C,UMI8b.IL.THSS3.12C,UMI8b.4.IL.THSS3.12C,UMI8b_IL_THSS3_12C,UMI8b_4_IL_THSS3_12C,20230818,2,20230818/K562_THSS3_4_Illumina_12c_S16_R1_001.fastq.gz,20230818/K562_THSS3_4_Illumina_12c_S16_R3_001.fastq.gz,28634017,28634017
UMI8b.IL.DFSS3.24C_UMI8b.1.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.1.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_1_IL_DFSS3_24C,20230804,1,20230804/K562_DFSS3_1_Illumina_24c_S22_R1_001.fastq.gz,20230804/K562_DFSS3_1_Illumina_24c_S22_R3_001.fastq.gz,5309072,5309072
UMI8b.IL.DFSS3.24C_UMI8b.1.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.1.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_1_IL_DFSS3_24C,20230818,2,20230818/K562_DFSS3_1_Illumina_24c_S17_R1_001.fastq.gz,20230818/K562_DFSS3_1_Illumina_24c_S17_R3_001.fastq.gz,31156227,31156227
UMI8b.IL.DFSS3.24C_UMI8b.2.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.2.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_2_IL_DFSS3_24C,20230804,1,20230804/K562_DFSS3_2_Illumina_24c_S23_R1_001.fastq.gz,20230804/K562_DFSS3_2_Illumina_24c_S23_R3_001.fastq.gz,4138733,4138733
UMI8b.IL.DFSS3.24C_UMI8b.2.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.2.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_2_IL_DFSS3_24C,20230818,2,20230818/K562_DFSS3_2_Illumina_24c_S18_R1_001.fastq.gz,20230818/K562_DFSS3_2_Illumina_24c_S18_R3_001.fastq.gz,29510069,29510069
UMI8b.IL.DFSS3.24C_UMI8b.3.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.3.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_3_IL_DFSS3_24C,20230804,1,20230804/K562_DFSS3_3_Illumina_24c_S24_R1_001.fastq.gz,20230804/K562_DFSS3_3_Illumina_24c_S24_R3_001.fastq.gz,3754573,3754573
UMI8b.IL.DFSS3.24C_UMI8b.3.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.3.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_3_IL_DFSS3_24C,20230818,2,20230818/K562_DFSS3_3_Illumina_24c_S19_R1_001.fastq.gz,20230818/K562_DFSS3_3_Illumina_24c_S19_R3_001.fastq.gz,32810993,32810993
UMI8b.IL.DFSS3.24C_UMI8b.4.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.4.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_4_IL_DFSS3_24C,20230804,1,20230804/K562_DFSS3_4_Illumina_24c_S25_R1_001.fastq.gz,20230804/K562_DFSS3_4_Illumina_24c_S25_R3_001.fastq.gz,3690099,3690099
UMI8b.IL.DFSS3.24C_UMI8b.4.IL.DFSS3.24C,UMI8b.IL.DFSS3.24C,UMI8b.4.IL.DFSS3.24C,UMI8b_IL_DFSS3_24C,UMI8b_4_IL_DFSS3_24C,20230818,2,20230818/K562_DFSS3_4_Illumina_24c_S20_R1_001.fastq.gz,20230818/K562_DFSS3_4_Illumina_24c_S20_R3_001.fastq.gz,31921323,31921323
UMI8b.IL.THSS3.24C_UMI8b.1.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.1.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_1_IL_THSS3_24C,20230804,1,20230804/K562_THSS3_1_Illumina_24c_S26_R1_001.fastq.gz,20230804/K562_THSS3_1_Illumina_24c_S26_R3_001.fastq.gz,2089687,2089687
UMI8b.IL.THSS3.24C_UMI8b.1.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.1.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_1_IL_THSS3_24C,20230818,2,20230818/K562_THSS3_1_Illumina_24c_S21_R1_001.fastq.gz,20230818/K562_THSS3_1_Illumina_24c_S21_R3_001.fastq.gz,33458733,33458733
UMI8b.IL.THSS3.24C_UMI8b.2.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.2.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_2_IL_THSS3_24C,20230804,1,20230804/K562_THSS3_2_Illumina_24c_S27_R1_001.fastq.gz,20230804/K562_THSS3_2_Illumina_24c_S27_R3_001.fastq.gz,2789881,2789881
UMI8b.IL.THSS3.24C_UMI8b.2.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.2.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_2_IL_THSS3_24C,20230818,2,20230818/K562_THSS3_2_Illumina_24c_S22_R1_001.fastq.gz,20230818/K562_THSS3_2_Illumina_24c_S22_R3_001.fastq.gz,33169695,33169695
UMI8b.IL.THSS3.24C_UMI8b.3.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.3.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_3_IL_THSS3_24C,20230804,1,20230804/K562_THSS3_3_Illumina_24c_S28_R1_001.fastq.gz,20230804/K562_THSS3_3_Illumina_24c_S28_R3_001.fastq.gz,4217887,4217887
UMI8b.IL.THSS3.24C_UMI8b.3.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.3.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_3_IL_THSS3_24C,20230818,2,20230818/K562_THSS3_3_Illumina_24c_S23_R1_001.fastq.gz,20230818/K562_THSS3_3_Illumina_24c_S23_R3_001.fastq.gz,33929883,33929883
UMI8b.IL.THSS3.24C_UMI8b.4.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.4.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_4_IL_THSS3_24C,20230804,1,20230804/K562_THSS3_4_Illumina_24c_S29_R1_001.fastq.gz,20230804/K562_THSS3_4_Illumina_24c_S29_R3_001.fastq.gz,2996223,2996223
UMI8b.IL.THSS3.24C_UMI8b.4.IL.THSS3.24C,UMI8b.IL.THSS3.24C,UMI8b.4.IL.THSS3.24C,UMI8b_IL_THSS3_24C,UMI8b_4_IL_THSS3_24C,20230818,2,20230818/K562_THSS3_4_Illumina_24c_S24_R1_001.fastq.gz,20230818/K562_THSS3_4_Illumina_24c_S24_R3_001.fastq.gz,32584759,32584759
